context,measurement,descriptor,group,model,success,aic,sse,n_obs,message,is_selected,params
wild_alignment_seed_avg TOO_TOHcm_by_sex,avg TOO_TOHcm,ossicone length (avg TOO_TOHcm),M,poly3,True,18538.92305200934,745057.2615966174,3447,,False,a3=9.458e-06; a2=-0.002932; a1=0.273; a0=14.48
wild_alignment_seed_avg TOO_TOHcm_by_sex,avg TOO_TOHcm,ossicone length (avg TOO_TOHcm),M,richards,True,18535.902150307473,744404.5900627391,3447,,False,"A=22.02 [21.33, 22.71]; k=0.2331 [-0.5516, 1.018]; t0=18.25 [-19.24, 55.74]; nu=17.07 [-49.43, 83.56]"
wild_alignment_seed_avg TOO_TOHcm_by_sex,avg TOO_TOHcm,ossicone length (avg TOO_TOHcm),M,von_bertalanffy,True,18536.928537398788,745058.4472457306,3447,,False,"A=22.25 [21.39, 23.12]; k=0.05536 [0.02902, 0.0817]; t0=-35.04 [-53.44, -16.64]"
wild_alignment_seed_avg TOO_TOHcm_overall,avg TOO_TOHcm,ossicone length (avg TOO_TOHcm),overall,gompertz,True,49897.87731778293,1918666.8634766967,9376,,True,"A=18.36 [17.98, 18.74]; k=0.08954 [0.03007, 0.149]; t0=-16.68 [-29.79, -3.567]"
wild_alignment_seed_avg TOO_TOHcm_overall,avg TOO_TOHcm,ossicone length (avg TOO_TOHcm),overall,logistic,True,49897.69137315115,1918628.812893742,9376,,False,"A=18.36 [17.99, 18.74]; k=0.09377 [0.03234, 0.1552]; t0=-14.79 [-26.71, -2.859]"
wild_alignment_seed_avg TOO_TOHcm_overall,avg TOO_TOHcm,ossicone length (avg TOO_TOHcm),overall,poly3,True,49893.065409537776,1917273.4082710827,9376,,False,a3=9.629e-06; a2=-0.00245; a1=0.176; a0=14.98
wild_alignment_seed_avg TOO_TOHcm_overall,avg TOO_TOHcm,ossicone length (avg TOO_TOHcm),overall,richards,True,49896.253515547505,1917925.446474982,9376,,False,"A=18.36 [18.01, 18.72]; k=0.8575 [-14.54, 16.26]; t0=18.3 [-62.86, 99.47]; nu=100 [-1728, 1928]"
wild_alignment_seed_avg TOO_TOHcm_overall,avg TOO_TOHcm,ossicone length (avg TOO_TOHcm),overall,von_bertalanffy,True,49897.9412057347,1918679.9372942797,9376,,False,"A=18.36 [17.98, 18.75]; k=0.08805 [0.02928, 0.1468]; t0=-29.84 [-51.59, -8.083]"
wild_avg NI_FBHcm_by_sex,avg NI_FBHcm,foreleg length (avg NI_FBHcm),F,gompertz,True,6545.395987969793,703500.5782897801,997,,True,"A=220 [216.8, 223.2]; k=0.04655 [0.03832, 0.05478]; t0=-17.95 [-22.01, -13.9]"
wild_avg NI_FBHcm_by_sex,avg NI_FBHcm,foreleg length (avg NI_FBHcm),F,logistic,True,6545.629954772214,703665.6887162866,997,,False,"A=219.5 [216.5, 222.5]; k=0.05203 [0.04318, 0.06089]; t0=-12.22 [-15.45, -8.99]"
wild_avg NI_FBHcm_by_sex,avg NI_FBHcm,foreleg length (avg NI_FBHcm),F,poly3,True,6548.043948505113,703957.9391434891,997,,False,a3=8.467e-05; a2=-0.02489; a1=2.37; a0=145
wild_avg NI_FBHcm_by_sex,avg NI_FBHcm,foreleg length (avg NI_FBHcm),F,richards,True,6547.396880919133,703501.2083706807,997,,False,"A=220 [215.9, 224.1]; k=0.04661 [0.01973, 0.07348]; t0=-17.89 [-47.03, 11.24]; nu=0.01 [-4.503, 4.523]"
wild_avg NI_FBHcm_by_sex,avg NI_FBHcm,foreleg length (avg NI_FBHcm),F,von_bertalanffy,True,6545.385039165304,703492.8526649091,997,,False,"A=220.2 [216.9, 223.4]; k=0.04476 [0.03673, 0.05279]; t0=-44.66 [-53.34, -35.99]"
wild_avg NI_FBHcm_by_sex,avg NI_FBHcm,foreleg length (avg NI_FBHcm),M,gompertz,True,3883.0983774868405,539796.0992470989,565,,True,"A=253 [246, 260]; k=0.02997 [0.02397, 0.03597]; t0=-19.41 [-24.01, -14.81]"
wild_avg NI_FBHcm_by_sex,avg NI_FBHcm,foreleg length (avg NI_FBHcm),M,logistic,True,3885.2692865937074,541874.1566986945,565,,False,"A=251.2 [244.9, 257.4]; k=0.03559 [0.02901, 0.04216]; t0=-9.096 [-12.31, -5.881]"
wild_avg NI_FBHcm_by_sex,avg NI_FBHcm,foreleg length (avg NI_FBHcm),M,poly3,True,3869.573110503298,525165.3291173158,565,,False,a3=9.628e-05; a2=-0.02735; a1=2.755; a0=142.9
wild_avg NI_FBHcm_by_sex,avg NI_FBHcm,foreleg length (avg NI_FBHcm),M,richards,True,3885.1201203768164,539816.8726152949,565,,False,"A=253 [242.4, 263.6]; k=0.03002 [0.007414, 0.05263]; t0=-19.29 [-66.98, 28.39]; nu=0.01 [-3.959, 3.979]"
wild_avg NI_FBHcm_by_sex,avg NI_FBHcm,foreleg length (avg NI_FBHcm),M,von_bertalanffy,True,3882.3761410101642,539106.5216174854,565,,False,"A=253.8 [246.5, 261.1]; k=0.02814 [0.02231, 0.03397]; t0=-62.65 [-75.8, -49.5]"
wild_avg NI_FBHcm_by_vtb_umb,avg NI_FBHcm,foreleg length (avg NI_FBHcm) (by VTB_Umb),Umb=0,gompertz,True,10779.007021075748,1363083.7814161927,1596,,True,"A=231.3 [228.1, 234.6]; k=0.03785 [0.03284, 0.04286]; t0=-19.26 [-22.31, -16.22]"
wild_avg NI_FBHcm_by_vtb_umb,avg NI_FBHcm,foreleg length (avg NI_FBHcm) (by VTB_Umb),Umb>0,gompertz,True,219.88113383452549,10572.769398788389,38,,True,"A=210.8 [166.3, 255.2]; k=0.05861 [0.003335, 0.1139]; t0=-11.28 [-18.03, -4.531]"
wild_avg NI_FBHcm_overall,avg NI_FBHcm,foreleg length (avg NI_FBHcm),overall,gompertz,True,11016.212294580668,1379156.0252450404,1634,,True,"A=231.1 [227.9, 234.3]; k=0.03852 [0.0336, 0.04345]; t0=-18.54 [-21.38, -15.7]"
wild_avg NI_FBHcm_overall,avg NI_FBHcm,foreleg length (avg NI_FBHcm),overall,logistic,True,11021.159928204015,1383338.3384505308,1634,,False,"A=230.2 [227.2, 233.1]; k=0.04432 [0.03897, 0.04968]; t0=-11 [-13.1, -8.905]"
wild_avg NI_FBHcm_overall,avg NI_FBHcm,foreleg length (avg NI_FBHcm),overall,poly3,True,10981.184603681832,1348254.7396352317,1634,,False,a3=0.0001132; a2=-0.02996; a1=2.698; a0=141.5
wild_avg NI_FBHcm_overall,avg NI_FBHcm,foreleg length (avg NI_FBHcm),overall,richards,True,11018.261272918744,1379197.3653811761,1634,,False,"A=231.1 [226.8, 235.5]; k=0.03858 [0.02138, 0.05578]; t0=-18.45 [-43.19, 6.28]; nu=0.01 [-2.869, 2.889]"
wild_avg NI_FBHcm_overall,avg NI_FBHcm,foreleg length (avg NI_FBHcm),overall,von_bertalanffy,True,11014.590245023759,1377787.6351362534,1634,,False,"A=231.5 [228.2, 234.8]; k=0.03663 [0.03184, 0.04142]; t0=-51.49 [-58.47, -44.51]"
wild_avg NI_FBHcm_sex_unknown,avg NI_FBHcm,foreleg length (avg NI_FBHcm) (sex unknown),overall,gompertz,True,410.98705954056123,19960.016777330835,72,,True,"A=182.4 [75.7, 289.1]; k=0.1205 [-0.2245, 0.4655]; t0=-8.586 [-21.78, 4.608]"
wild_avg NI_FBHcm_sex_unknown,avg NI_FBHcm,foreleg length (avg NI_FBHcm) (sex unknown),overall,logistic,True,410.9990611521072,19963.344170862794,72,,False,"A=180.1 [89.4, 270.9]; k=0.1423 [-0.1993, 0.4839]; t0=-6.314 [-12.5, -0.1285]"
wild_avg NI_FBHcm_sex_unknown,avg NI_FBHcm,foreleg length (avg NI_FBHcm) (sex unknown),overall,poly3,True,412.7682054168994,19899.437615912226,72,,False,a3=0.04477; a2=-1.006; a1=9.075; a0=124.8
wild_avg NI_FBHcm_sex_unknown,avg NI_FBHcm,foreleg length (avg NI_FBHcm) (sex unknown),overall,richards,True,412.9871761705499,19960.04910980883,72,,False,"A=182.4 [-227.8, 592.5]; k=0.1207 [-3.191, 3.432]; t0=-8.559 [-405.6, 388.5]; nu=0.01 [-148.3, 148.4]"
wild_avg NI_FBHcm_sex_unknown,avg NI_FBHcm,foreleg length (avg NI_FBHcm) (sex unknown),overall,von_bertalanffy,True,410.98321270448025,19958.950376475805,72,,False,"A=183.3 [69.81, 296.7]; k=0.1133 [-0.233, 0.4596]; t0=-19.22 [-65.57, 27.12]"
wild_avg TOH_NIcm_by_sex,avg TOH_NIcm,neck length (avg TOH_NIcm),F,gompertz,True,34317.53462887151,2328546.4333818476,5708,,True,"A=184.3 [183.1, 185.6]; k=0.039 [0.03682, 0.04118]; t0=-12.9 [-14.04, -11.75]"
